Date,Movie,GrossSales
06/01/14,Maleficent,19383198 
06/01/14,X-Men: Days of Future Past,9339859 
06/01/14,A Million Ways to Die in The West,4231615 
06/01/14,Godzilla,3417587 
06/01/14,Neighbors,2129605 
06/01/14,Blended,1996403 
06/01/14,The Amazing Spider-Man 2,1091519 
06/01/14,Million Dollar Arm,950909 
06/01/14,Chef,524109 
06/01/14,Rio 2,354959 
06/02/14,Maleficent,6207742 
06/02/14,X-Men: Days of Future Past,3163908 
06/02/14,A Million Ways to Die in The West,1627855 
06/02/14,Godzilla,1152979 
06/02/14,Neighbors,911525 
06/02/14,Blended,709031 
06/02/14,The Amazing Spider-Man 2,378342 
06/02/14,Million Dollar Arm,344767 
06/02/14,Chef,206211 
06/02/14,The Other Woman,158352 
06/03/14,Maleficent,7196208 
06/03/14,X-Men: Days of Future Past,3787895 
06/03/14,A Million Ways to Die in The West,1864635 
06/03/14,Godzilla,1370135 
06/03/14,Neighbors,1059450 
06/03/14,Blended,918371 
06/03/14,The Amazing Spider-Man 2,501119 
06/03/14,Million Dollar Arm,429362 
06/03/14,Chef,237294 
06/03/14,The Other Woman,190344 
06/04/14,Maleficent,5612603 
06/04/14,X-Men: Days of Future Past,2824137 
06/04/14,A Million Ways to Die in The West,1419590 
06/04/14,Godzilla,1117001 
06/04/14,Neighbors,897550 
06/04/14,Blended,762465 
06/04/14,The Amazing Spider-Man 2,402062 
06/04/14,Million Dollar Arm,399096 
06/04/14,Chef,244412 
06/04/14,The Other Woman,170963 
06/05/14,Maleficent,5399117 
06/05/14,X-Men: Days of Future Past,2605125 
06/05/14,A Million Ways to Die in The West,1280505 
06/05/14,Godzilla,1013205 
06/05/14,Neighbors,765605 
06/05/14,Blended,718238 
06/05/14,The Amazing Spider-Man 2,370971 
06/05/14,Million Dollar Arm,366752 
06/05/14,Chef,247348 
06/05/14,Belle,158169 
06/06/14,The Fault in Our Stars,26062046 
06/06/14,Edge of Tomorrow,10605165 
06/06/14,Maleficent,10189870 
06/06/14,X-Men: Days of Future Past,4510017 
06/06/14,A Million Ways to Die in The West,2260790 
