date,movie,sales
06/01/14,Maleficent,19383198 
06/01/14,X-Men: Days of Future Past,9339859 
06/01/14,A Million Ways to Die in The West,4231615 
06/01/14,Godzilla,3417587 
06/01/14,Neighbors,2129605 
06/02/14,Maleficent,6207742 
06/02/14,X-Men: Days of Future Past,3163908 
06/02/14,A Million Ways to Die in The West,1627855 
06/02/14,Godzilla,1152979 
06/02/14,Neighbors,911525 
06/03/14,Maleficent,7196208 
06/03/14,X-Men: Days of Future Past,3787895 
06/03/14,A Million Ways to Die in The West,1864635 
06/03/14,Godzilla,1370135 
06/03/14,Neighbors,1059450 
06/04/14,Maleficent,5612603 
06/04/14,X-Men: Days of Future Past,2824137 
06/04/14,A Million Ways to Die in The West,1419590 
06/04/14,Godzilla,1117001 
06/04/14,Neighbors,897550 
06/05/14,Maleficent,5399117 
06/05/14,X-Men: Days of Future Past,2605125 
06/05/14,A Million Ways to Die in The West,1280505 
06/05/14,Godzilla,1013205 
06/05/14,Neighbors,765605 
06/06/14,The Fault in Our Stars,26062046 
06/06/14,Edge of Tomorrow,10605165 
06/06/14,Maleficent,10189870 
06/06/14,X-Men: Days of Future Past,4510017 
06/06/14,A Million Ways to Die in The West,2260790 
06/07/14,Maleficent,13463278 
06/07/14,The Fault in Our Stars,12680655 
06/07/14,Edge of Tomorrow,10474234 
06/07/14,X-Men: Days of Future Past,6176540 
06/07/14,A Million Ways to Die in The West,2908685 
06/08/14,Maleficent,10675116 
06/08/14,The Fault in Our Stars,9259822 
06/08/14,Edge of Tomorrow,7680847 
06/08/14,X-Men: Days of Future Past,4468257 
06/08/14,A Million Ways to Die in The West,2179020 
06/09/14,The Fault in Our Stars,5095488 
06/09/14,Maleficent,4047865 
06/09/14,Edge of Tomorrow,3167460 
06/09/14,X-Men: Days of Future Past,1765307 
06/09/14,A Million Ways to Die in The West,917935 
06/10/14,The Fault in Our Stars,5002851 
06/10/14,Maleficent,4712585 
06/10/14,Edge of Tomorrow,3482263 
06/10/14,X-Men: Days of Future Past,2021629 
06/10/14,A Million Ways to Die in The West,1058440 
